id,price,flooring,available_units,towers,construction,ownership,emi,bed,bath,parking,area,costpersqft,flat_on_floor,total_floor,lift,balcony,lattitude,longitude,project_in_acres,builder,project_name,furnish,city,location,property_type,status,extra_rooms,facing,seller,price_category,overlooking,education_mean_km,education_min_km,education_within_2km,transport_mean_km,transport_min_km,transport_within_2km,shopping_centre_mean_km,shopping_centre_min_km,shopping_centre_within_2km,commercial_hub_mean_km,commercial_hub_min_km,commercial_hub_within_2km,hospital_mean_km,hospital_min_km,hospital_within_2km,tourist_mean_km,tourist_min_km,tourist_within_2km,overall_min_mean_km,overall_avg_mean_km,overall_min_min_km,overall_avg_min_km,total_within_2km
cardid69429251,1.8,vitrified,1512.0,10.0,under construction,,0.81,2.0,2.0,1.0,635.0,28346.0,,,4.0,,19.20777713,72.96747907,1.3006,raymond realty,tenx habitat raymond realty,unfurnished,thane,pokhran road,new property,under construction,,,organization,1.00 - 1.99,,1.8333333333333333,1.2,2,5.05,3.0,0,2.25,2.1,0,,,0,,,0,,,0,1.8333333333333333,3.0444444444444443,1.2,2.1,2
cardid69427147,2.37,"vitrified, wooden, ceramic tiles",810.0,6.0,under construction,,1.07,3.0,3.0,1.0,1905.0,12441.0,,,4.0,,19.08060457,73.07393855,17.0,paradise group,paradise sai world empire,unfurnished,navi mumbai,kharghar,new property,under construction,,,realestateagent,2.00 - 2.99,,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,,,0,,,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2
cardid71764335,1.8,,412.0,2.0,under construction,,0.81,2.0,2.0,1.0,623.0,28892.0,,,2.0,,19.24877774,72.86379288,1.0,n rose developers pvt. ltd.,northern hills,unfurnished,mumbai,dahisar east,new property,under construction,,,organization,1.00 - 1.99,,7.525,0.8,2,10.266666666666666,0.2,2,5.38,0.2,4,18.5,18.4,0,,,0,,,0,5.38,10.417916666666667,0.2,4.8999999999999995,8
cardid71631505,1.64,vitrified,339.0,1.0,under construction,,0.74,2.0,2.0,,702.0,23500.0,,23.0,,,19.13870425,72.85996367,1.0,avant group,avant heritage v,unfurnished,mumbai,jogeshwari east,new property,under construction,,,organization,1.00 - 1.99,,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0
cardid72558997,1.26,vitrified,174.0,1.0,under construction,,0.57,1.0,2.0,1.0,608.0,20724.0,,,3.0,,19.0553080482794,72.9228495020468,2.0,mj shah,centrionx,unfurnished,mumbai,govandi,new property,under construction,,,organization,1.00 - 1.99,,2.06,1.2,3,1.2,1.2,1,3.85,2.3,0,,,0,,,0,,,0,1.2,2.3699999999999997,1.2,1.5666666666666664,4
cardid71157137,1.23,"vitrified, wooden, ceramic tiles",35.0,1.0,,,0.56,2.0,2.0,,770.0,16003.0,,10.0,3.0,,18.98125891,73.03124307,0.7413,progressive group,progressive prive,unfurnished,navi mumbai,ulwe,new property,ready to move,,,organization,1.00 - 1.99,,5.35,3.3,0,4.4,4.4,0,7.366666666666667,4.4,0,11.200000000000001,4.8,0,,,0,,,0,4.4,7.0791666666666675,3.3,4.2250000000000005,0
cardid71393503,1.0,"mosaic, vitrified, wooden, marble",950.0,16.0,under construction,,0.45,3.0,1.0,2.0,849.0,11777.0,,,1.0,,19.00278852,73.13349188,9.0,vishesh group,balaji symphony,unfurnished,navi mumbai,panvel,new property,under construction,,,organization,1.00 - 1.99,,1.54,1.1,5,0.45,0.4,2,2.96,0.4,3,16.849999999999998,7.8,0,1.3,1.3,1,,,0,0.45,4.619999999999999,0.4,2.2,11
cardid71830489,1.04,vitrified,107.0,1.0,under construction,,0.47,1.0,2.0,,370.0,28108.0,,13.0,2.0,,19.10880306,72.85552701,,gagangiri construction,aerovista,unfurnished,mumbai,andheri east,new property,under construction,,,organization,1.00 - 1.99,,66.35,11.2,0,,,0,6.9399999999999995,1.9,1,3.7600000000000002,0.8,4,1.4333333333333333,0.7,2,,,0,1.4333333333333333,19.620833333333334,0.7,3.65,7
cardid71954433,1.15,"vitrified, marble",1313.0,2.0,under construction,,0.52,2.0,2.0,,578.0,19896.0,,40.0,,,19.27923118,72.88752793,2.0,jp infra realty pvt ltd,the palace tower,unfurnished,thane,vinay nagar,new property,under construction,,,organization,1.00 - 1.99,,1.475,0.5,3,3.55,2.5,0,3.9,3.9,0,7.18,1.3,1,,,0,,,0,1.475,4.02625,0.5,2.0500000000000003,4
cardid71079531,1.47,vitrified,118.0,1.0,under construction,,0.66,2.0,3.0,,607.0,24217.0,,16.0,3.0,,19.07907,72.907976,0.2298,aakruti enterprises,om priyadarshani,unfurnished,mumbai,ghatkopar east,new property,under construction,,,organization,1.00 - 1.99,,3.88,0.6,3,3.35,0.8,1,0.4666666666666666,0.2,3,7.925,3.1,0,0.55,0.5,2,,,0,0.4666666666666666,3.2343333333333333,0.2,1.04,9
cardid70938587,1.16,vitrified,300.0,3.0,under construction,,0.52,2.0,2.0,,680.0,17081.0,,47.0,4.0,,19.08256911,73.08055798,2.2239,adhiraj constructions,adhiraj capital city tower meraki,unfurnished,navi mumbai,kharghar,new property,under construction,,,organization,1.00 - 1.99,,3.04,1.1,1,2.7600000000000002,1.9,1,4.12,2.3,0,6.0,2.3,0,,,0,,,0,2.7600000000000002,3.9800000000000004,1.1,1.9,2
cardid71736607,0.33,,307.0,2.0,under construction,,0.15,1.0,2.0,,362.0,9113.0,,19.0,2.0,,19.42876348,72.80897426,1.0,abhinav realtors,av pride,unfurnished,palghar,nala sopara west,new property,under construction,,,organization,0.00 - 0.99,,,,0,5.3,5.3,0,3.5500000000000003,2.7,0,31.833333333333332,25.8,0,3.6,3.6,0,0.8,0.8,1,0.8,9.016666666666666,0.8,7.639999999999999,1
cardid72167973,1.39,,168.0,1.0,under construction,,0.63,2.0,2.0,,623.0,22311.0,,20.0,2.0,,19.15608564,72.94130268,0.9998,ashapura realtors,samarth aura,semi-furnished,mumbai,bhandup west,new property,under construction,,,organization,1.00 - 1.99,,5.1000000000000005,0.4,1,6.0,1.7,1,4.4,0.9,1,8.15,6.0,0,0.7,0.7,1,,,0,0.7,4.87,0.4,1.94,4
cardid71715475,0.612,vitrified,109.0,1.0,under construction,,0.28,3.0,3.0,,840.0,7286.0,,,2.0,,19.08563233,73.11055595,2.1503,s m hitech developers,sm jewel,unfurnished,navi mumbai,taloja,new property,under construction,,,realestateagent,0.00 - 0.99,,3.9,2.8,0,3.0599999999999996,1.2,1,7.959999999999999,6.6,0,12.65,12.4,0,,,0,,,0,3.0599999999999996,6.8925,1.2,5.75,1
cardid71696137,1.76,vitrified,95.0,4.0,under construction,,0.79,2.0,2.0,1.0,637.0,27630.0,13.0,17.0,2.0,,19.08508539,72.91351664,0.6926,drushti group,drushti sapphire,unfurnished,mumbai,ghatkopar east,new property,under construction,,,realestateagent,1.00 - 1.99,,3.88,0.6,3,3.35,0.8,1,0.4666666666666666,0.2,3,7.925,3.1,0,0.55,0.5,2,,,0,0.4666666666666666,3.2343333333333333,0.2,1.04,9
cardid72744229,1.53,,385.0,3.0,under construction,,0.69,2.0,2.0,,594.0,25758.0,,45.0,,,19.1749536837097,72.943103519999,7.0,ashwin sheth group and emami group,sheth montana,unfurnished,mumbai,mulund west,new property,under construction,,,organization,1.00 - 1.99,,4.0,1.0,2,5.375025,0.0001,2,2.26002,0.0001,4,5.819999999999999,1.5,2,,,0,,,0,2.26002,4.3637612500000005,0.0001,0.62505,10
cardid71424313,1.33,,287.0,4.0,under construction,,0.6,2.0,2.0,1.0,630.0,21111.0,,20.0,,,19.14871992,72.94278085,1.0,atul projects,atul horizon,unfurnished,mumbai,bhandup,new property,under construction,,,organization,1.00 - 1.99,,0.6000000000000001,0.4,2,0.8,0.8,1,2.4666666666666663,0.6,1,2.7,0.6,2,1.3,1.3,1,,,0,0.6000000000000001,1.5733333333333333,0.4,0.74,7
